f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
2.010000000000000000e+02	5.047874957966039801e+03	2.107528475020830627e-01	7.525737144472290083e+02
2.020000000000000000e+02	5.014537087010881805e+03	2.093669045400721185e-01	7.426873777300414758e+02
2.040000000000000000e+02	4.949156629365488698e+03	2.066489810162181195e-01	7.234889097610122235e+02
2.050000000000000000e+02	4.917097338392009988e+03	2.053163047600675695e-01	7.141669906963990115e+02
2.070000000000000000e+02	4.854200467312828550e+03	2.027018504221011486e-01	6.960543746115183694e+02
2.080000000000000000e+02	4.823347430863332193e+03	2.014194285890993641e-01	6.872548253905745241e+02
2.090000000000000000e+02	4.792881346813997880e+03	2.001531279613803227e-01	6.786205600710028421e+02
2.110000000000000000e+02	4.733081210450356593e+03	1.976676896940348094e-01	6.618320958860405199e+02
2.120000000000000000e+02	4.703733189896090153e+03	1.964479702503886815e-01	6.536698593246103428e+02
2.140000000000000000e+02	4.646107600616545824e+03	1.940531293958498438e-01	6.377909857688798638e+02
2.150000000000000000e+02	4.617817063626270283e+03	1.928774678099935136e-01	6.300671415365359280e+02
2.170000000000000000e+02	4.562249248309023642e+03	1.905683603572021489e-01	6.150332276649469350e+02
2.180000000000000000e+02	4.534959913782629883e+03	1.894344122875138148e-01	6.077168206890257807e+02
2.200000000000000000e+02	4.481341313443854233e+03	1.872065162261078441e-01	5.934691854141223075e+02
2.210000000000000000e+02	4.455000824549616482e+03	1.861121007252916626e-01	5.865319385302943829e+02
2.220000000000000000e+02	4.428965611877732954e+03	1.850304042907225666e-01	5.797153713607756345e+02
2.240000000000000000e+02	4.377789972326105271e+03	1.829042920379081449e-01	5.664329092033761981e+02
2.250000000000000000e+02	4.352639324490432955e+03	1.818594504405783019e-01	5.599617737210238602e+02
2.270000000000000000e+02	4.303187686170483175e+03	1.798051679099653966e-01	5.473468061291400772e+02
2.280000000000000000e+02	4.278877153657796043e+03	1.787953294734595799e-01	5.411981197221404045e+02
2.300000000000000000e+02	4.231063601969281081e+03	1.768092975997950234e-01	5.292066411024792387e+02
2.310000000000000000e+02	4.207551664329839696e+03	1.758327326270414936e-01	5.233593896399985397e+02
2.330000000000000000e+02	4.161295900031706879e+03	1.739116062014280650e-01	5.119509620386342590e+02
2.340000000000000000e+02	4.138543728375418141e+03	1.729666970946901750e-01	5.063857151092869344e+02
2.360000000000000000e+02	4.093770616171725578e+03	1.711073459743386316e-01	4.955231773107633444e+02
2.370000000000000000e+02	4.071741858684472845e+03	1.701925783003236659e-01	4.902221361797189729e+02
2.390000000000000000e+02	4.028381018648819463e+03	1.683920704010296032e-01	4.798712414977717344e+02
2.400000000000000000e+02	4.007041606058943671e+03	1.675060247968415406e-01	4.748179012718605350e+02
2.420000000000000000e+02	3.965027043207388033e+03	1.657616106738785400e-01	4.649469968878849500e+02
2.430000000000000000e+02	3.944345012513231723e+03	1.649029555034396133e-01	4.601262124508718330e+02
2.450000000000000000e+02	3.903614780566519585e+03	1.632120543511402233e-01	4.507060552691897897e+02
2.460000000000000000e+02	3.883560114589834029e+03	1.623795390313311493e-01	4.461037327232884877e+02
2.480000000000000000e+02	3.844056010244179106e+03	1.607397259506196940e-01	4.371073188141342030e+02
2.490000000000000000e+02	3.824600491885668362e+03	1.599321748778451402e-01	4.327104965142250421e+02
2.510000000000000000e+02	3.786267776275992219e+03	1.583411692799731596e-01	4.241128146460611106e+02
2.520000000000000000e+02	3.767384855520149813e+03	1.575574762946884144e-01	4.199093997039580017e+02
2.540000000000000000e+02	3.730172000144033063e+03	1.560131313247245799e-01	4.116872133234207354e+02
2.550000000000000000e+02	3.711836672817679755e+03	1.552522546591076913e-01	4.076660705003209841e+02
2.570000000000000000e+02	3.675695127685697116e+03	1.537525475361172511e-01	3.997978105923718886e+02
2.580000000000000000e+02	3.657883824433409245e+03	1.530135051962517589e-01	3.959485157344072945e+02
2.600000000000000000e+02	3.622767805919289458e+03	1.515565283789826745e-01	3.884141812849213693e+02
2.610000000000000000e+02	3.605458290844700969e+03	1.508383939190368062e-01	3.847271166665125861e+02
2.630000000000000000e+02	3.571324587388792679e+03	1.494223470152455380e-01	3.775080994067476468e+02
2.640000000000000000e+02	3.554495865032808069e+03	1.487242456649513767e-01	3.739742403319934283e+02
2.660000000000000000e+02	3.521303658998487663e+03	1.473474280130726566e-01	3.670531733721269916e+02
2.670000000000000000e+02	3.504935889077199135e+03	1.466685331249498736e-01	3.636641889139394834e+02
2.690000000000000000e+02	3.472646593293841306e+03	1.453293369836701487e-01	3.570248835719755789e+02
2.700000000000000000e+02	3.456721012241680000e+03	1.446688667688560137e-01	3.537729279897042716e+02
2.720000000000000000e+02	3.425298119691946340e+03	1.433657710572761868e-01	3.474003151802377261e+02
2.730000000000000000e+02	3.409796968674219443e+03	1.427229855839827477e-01	3.442781322382029430e+02
2.750000000000000000e+02	3.379205914202486838e+03	1.414545501207488953e-01	3.381581387211090828e+02
2.760000000000000000e+02	3.364112372732078711e+03	1.408287485500216707e-01	3.351588832258278785e+02
2.780000000000000000e+02	3.334320405583914635e+03	1.395936087460935837e-01	3.292783171196265926e+02
2.790000000000000000e+02	3.319618530371274119e+03	1.389841267842951977e-01	3.263956547690551702e+02
2.810000000000000000e+02	3.290594596720478421e+03	1.377809887481859785e-01	3.207421729158582480e+02
2.830000000000000000e+02	3.262066221918543761e+03	1.365984992513117335e-01	3.152336631975304044e+02
2.840000000000000000e+02	3.247983899657468555e+03	1.360148323138639648e-01	3.125321774541529862e+02
2.860000000000000000e+02	3.220175282002595395e+03	1.348623330853349900e-01	3.072319430377073672e+02
2.870000000000000000e+02	3.206445983213683576e+03	1.342933756529612055e-01	3.046320212024341458e+02
2.890000000000000000e+02	3.179330085601053270e+03	1.331697401489322086e-01	2.995296346185201060e+02
2.900000000000000000e+02	3.165940631937766739e+03	1.326149431249407651e-01	2.970261896839770657e+02
2.920000000000000000e+02	3.139491754645436686e+03	1.315191005215161357e-01	2.921120342232844109e+02
