Frequency [Hz]	0.0+det[I + L(s)]
 (1.820000000000000000e+02+0.000000000000000000e+00j)	 (-2.129535321735795587e+06+1.665931116965779364e+08j)
 (1.830000000000000000e+02+0.000000000000000000e+00j)	 (-6.630002713479882106e+06+1.584482261003297269e+08j)
 (1.840000000000000000e+02+0.000000000000000000e+00j)	 (-1.071788373008606583e+07+1.506054249888385534e+08j)
 (1.860000000000000000e+02+0.000000000000000000e+00j)	 (-1.775774055576898903e+07+1.358151583901681006e+08j)
 (1.870000000000000000e+02+0.000000000000000000e+00j)	 (-2.077606701841236651e+07+1.288417286657782048e+08j)
 (1.880000000000000000e+02+0.000000000000000000e+00j)	 (-2.350512863987429067e+07+1.221522956864490211e+08j)
 (1.900000000000000000e+02+0.000000000000000000e+00j)	 (-2.818804733584149554e+07+1.095839571779036075e+08j)
 (1.910000000000000000e+02+0.000000000000000000e+00j)	 (-3.018754723257644475e+07+1.036931963676767945e+08j)
 (1.930000000000000000e+02+0.000000000000000000e+00j)	 (-3.359222007516150922e+07+9.264034695007221401e+07j)
 (1.940000000000000000e+02+0.000000000000000000e+00j)	 (-3.503259122781229764e+07+8.747160897443470359e+07j)
 (1.950000000000000000e+02+0.000000000000000000e+00j)	 (-3.632278489370000362e+07+8.252952532373546064e+07j)
 (1.970000000000000000e+02+0.000000000000000000e+00j)	 (-3.848894526382749528e+07+7.329799043816022575e+07j)
 (1.980000000000000000e+02+0.000000000000000000e+00j)	 (-3.938738822416155785e+07+6.898829298347745836e+07j)
 (2.000000000000000000e+02+0.000000000000000000e+00j)	 (-4.087646567115123570e+07+6.096301540376196802e+07j)
 (2.010000000000000000e+02+0.000000000000000000e+00j)	 (-4.148386828074290603e+07+5.722816853657968342e+07j)
 (2.020000000000000000e+02+0.000000000000000000e+00j)	 (-4.200776744980251044e+07+5.367139217930825055e+07j)
 (2.040000000000000000e+02+0.000000000000000000e+00j)	 (-4.283804233120282739e+07+4.706396496080739796e+07j)
 (2.050000000000000000e+02+0.000000000000000000e+00j)	 (-4.315460965110959113e+07+4.399964638871213794e+07j)
 (2.070000000000000000e+02+0.000000000000000000e+00j)	 (-4.362213862643094361e+07+3.832432707757472247e+07j)
 (2.080000000000000000e+02+0.000000000000000000e+00j)	 (-4.378181019442359358e+07+3.570001134800056368e+07j)
 (2.100000000000000000e+02+0.000000000000000000e+00j)	 (-4.396883873790521920e+07+3.084955826791697368e+07j)
 (2.110000000000000000e+02+0.000000000000000000e+00j)	 (-4.400440046094475687e+07+2.861624394447506964e+07j)
 (2.120000000000000000e+02+0.000000000000000000e+00j)	 (-4.400575583389648050e+07+2.650068735158381611e+07j)
 (2.140000000000000000e+02+0.000000000000000000e+00j)	 (-4.391405419751789421e+07+2.261021834739840776e+07j)
 (2.150000000000000000e+02+0.000000000000000000e+00j)	 (-4.382462285433744639e+07+2.082740408060903847e+07j)
 (2.170000000000000000e+02+0.000000000000000000e+00j)	 (-4.357513265676438063e+07+1.755800024556196108e+07j)
 (2.180000000000000000e+02+0.000000000000000000e+00j)	 (-4.341639539425522834e+07+1.606542624965705909e+07j)
 (2.200000000000000000e+02+0.000000000000000000e+00j)	 (-4.303746092464862019e+07+1.334157815211899765e+07j)
 (2.210000000000000000e+02+0.000000000000000000e+00j)	 (-4.282138443876082450e+07+1.210344696920586750e+07j)
 (2.230000000000000000e+02+0.000000000000000000e+00j)	 (-4.233852557908962667e+07+9.859382317108841613e+06j)
 (2.240000000000000000e+02+0.000000000000000000e+00j)	 (-4.207547516864656657e+07+8.843785503480538726e+06j)
 (2.250000000000000000e+02+0.000000000000000000e+00j)	 (-4.179736682214317471e+07+7.895385832623859867e+06j)
 (2.270000000000000000e+02+0.000000000000000000e+00j)	 (-4.120077205618864298e+07+6.191701155663154088e+06j)
 (2.280000000000000000e+02+0.000000000000000000e+00j)	 (-4.088578532347885519e+07+5.428729491924083792e+06j)
 (2.300000000000000000e+02+0.000000000000000000e+00j)	 (-4.021896435553761572e+07+4.066965357536885887e+06j)
 (2.310000000000000000e+02+0.000000000000000000e+00j)	 (-3.987073373763585836e+07+3.460979932491315529e+06j)
 (2.330000000000000000e+02+0.000000000000000000e+00j)	 (-3.914405019676973671e+07+2.390456281044884585e+06j)
 (2.340000000000000000e+02+0.000000000000000000e+00j)	 (-3.876675878720248491e+07+1.922280527498856187e+06j)
 (2.360000000000000000e+02+0.000000000000000000e+00j)	 (-3.798745516071001440e+07+1.099982512597430032e+06j)
 (2.370000000000000000e+02+0.000000000000000000e+00j)	 (-3.758573750369521976e+07+7.423433171154055744e+05j)
 (2.390000000000000000e+02+0.000000000000000000e+00j)	 (-3.675813506137280911e+07+1.291585021628902468e+05j)
 (2.400000000000000000e+02+0.000000000000000000e+00j)	 (-3.633630451634172350e+07-1.323479853621952643e+05j)
 (2.420000000000000000e+02+0.000000000000000000e+00j)	 (-3.546976311574206501e+07-5.744661341178534785e+05j)
 (2.430000000000000000e+02+0.000000000000000000e+00j)	 (-3.502815839156369120e+07-7.594221211519396165e+05j)
 (2.450000000000000000e+02+0.000000000000000000e+00j)	 (-3.413016010354855657e+07-1.061898400067556184e+06j)
 (2.460000000000000000e+02+0.000000000000000000e+00j)	 (-3.367348891269258410e+07-1.181727542717621429e+06j)
 (2.480000000000000000e+02+0.000000000000000000e+00j)	 (-3.274921640184789151e+07-1.372669077870655106e+06j)
 (2.490000000000000000e+02+0.000000000000000000e+00j)	 (-3.228180949130821601e+07-1.445822467720540008e+06j)
 (2.510000000000000000e+02+0.000000000000000000e+00j)	 (-3.133614123285790905e+07-1.549001473875710741e+06j)
 (2.520000000000000000e+02+0.000000000000000000e+00j)	 (-3.086171621630956605e+07-1.582624773065895308e+06j)
 (2.540000000000000000e+02+0.000000000000000000e+00j)	 (-2.990400128597191721e+07-1.620508609447612194e+06j)
 (2.550000000000000000e+02+0.000000000000000000e+00j)	 (-2.942386686134035513e+07-1.626979550835065544e+06j)
 (2.570000000000000000e+02+0.000000000000000000e+00j)	 (-2.846209901047342643e+07-1.616631402856185101e+06j)
 (2.580000000000000000e+02+0.000000000000000000e+00j)	 (-2.798036567023103312e+07-1.600911785091541708e+06j)
 (2.600000000000000000e+02+0.000000000000000000e+00j)	 (-2.701992077773413807e+07-1.557284567906473298e+06j)
 (2.610000000000000000e+02+0.000000000000000000e+00j)	 (-2.654139910307113081e+07-1.530229786984956590e+06j)
 (2.630000000000000000e+02+0.000000000000000000e+00j)	 (-2.558730071420509368e+07-1.464925384459723718e+06j)
 (2.640000000000000000e+02+0.000000000000000000e+00j)	 (-2.511491109682509676e+07-1.428250120447224472e+06j)
 (2.660000000000000000e+02+0.000000000000000000e+00j)	 (-2.417488545658380911e+07-1.351305037343844771e+06j)
 (2.670000000000000000e+02+0.000000000000000000e+00j)	 (-2.370994191301194206e+07-1.311705230881325435e+06j)
 (2.690000000000000000e+02+0.000000000000000000e+00j)	 (-2.279045378025429696e+07-1.229915534127316903e+06j)
 (2.700000000000000000e+02+0.000000000000000000e+00j)	 (-2.233567554402535409e+07-1.187943027597303037e+06j)
 (2.720000000000000000e+02+0.000000000000000000e+00j)	 (-2.144050412026386335e+07-1.107039129506355384e+06j)
 (2.730000000000000000e+02+0.000000000000000000e+00j)	 (-2.099972130468171835e+07-1.067944117741621099e+06j)
 (2.750000000000000000e+02+0.000000000000000000e+00j)	 (-2.013138431413000450e+07-9.915299230780226644e+05j)
 (2.770000000000000000e+02+0.000000000000000000e+00j)	 (-1.928529269542949647e+07-9.190516574372280156e+05j)
 (2.780000000000000000e+02+0.000000000000000000e+00j)	 (-1.886944898106007278e+07-8.852001406396605307e+05j)
 (2.800000000000000000e+02+0.000000000000000000e+00j)	 (-1.805604742324781418e+07-8.215845232990785735e+05j)
 (2.810000000000000000e+02+0.000000000000000000e+00j)	 (-1.765817615930066630e+07-7.917146675334946485e+05j)
 (2.830000000000000000e+02+0.000000000000000000e+00j)	 (-1.687937243715105206e+07-7.362017467974679312e+05j)
 (2.840000000000000000e+02+0.000000000000000000e+00j)	 (-1.649968101112949103e+07-7.109792826324414928e+05j)
 (2.860000000000000000e+02+0.000000000000000000e+00j)	 (-1.575825264182941802e+07-6.656005329046472907e+05j)
 (2.870000000000000000e+02+0.000000000000000000e+00j)	 (-1.539608007127206028e+07-6.451740173610738711e+05j)
 (2.890000000000000000e+02+0.000000000000000000e+00j)	 (-1.469230749418222532e+07-6.082055091162171448e+05j)
 (2.900000000000000000e+02+0.000000000000000000e+00j)	 (-1.434901675696440227e+07-5.922134145139713073e+05j)
 (2.920000000000000000e+02+0.000000000000000000e+00j)	 (-1.368258964925194532e+07-5.643141143227254506e+05j)
 (2.940000000000000000e+02+0.000000000000000000e+00j)	 (-1.304094063891571760e+07-5.412808700782263186e+05j)
 (2.950000000000000000e+02+0.000000000000000000e+00j)	 (-1.272896918288313225e+07-5.312871722080872860e+05j)
 (2.970000000000000000e+02+0.000000000000000000e+00j)	 (-1.212429117324583046e+07-5.154225896870787255e+05j)
 (2.980000000000000000e+02+0.000000000000000000e+00j)	 (-1.183130003825858235e+07-5.093461269003889756e+05j)
 (3.000000000000000000e+02+0.000000000000000000e+00j)	 (-1.125969682230247743e+07-4.911958897820839193e+05j)
 (3.010000000000000000e+02+0.000000000000000000e+00j)	 (-1.098696782274508663e+07-4.963476520707448362e+05j)
