f	1DC-2_dc	2DC-2_dc	3DC-2_dc
 (3.300000000000000000e+01+0.000000000000000000e+00j)	 (1.630367333419050976e-02-1.489585014815882416e-02j)	 (-1.626048108586782698e-02+1.799231791944761946e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.626048108581872390e-02+1.799231791944883030e-02j)	 (8.445465734766054167e-02-8.446335598346721429e-02j)	 (-6.814660317195747607e-02+7.030138259280523105e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-6.814660317199040807e-02+7.030138259279790358e-02j)	 (6.815098520281698269e-02-6.956750397976899092e-02j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)	 (1.599470127504264150e-02-1.467537594267984483e-02j)	 (-1.594802691555570820e-02+1.786852537201058175e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.594802691552001800e-02+1.786852537204988017e-02j)	 (8.287951605306061176e-02-8.362117640038967126e-02j)	 (-6.688026408140747281e-02+6.970167436886554047e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.688026408143610269e-02+6.970167436883444034e-02j)	 (6.688481230646528553e-02-6.894580054859719698e-02j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (1.569567810067375516e-02-1.445714630544924634e-02j)	 (-1.564531581907683405e-02+1.774706655864876845e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.564531581910932889e-02+1.774706655868205779e-02j)	 (8.134951650106471421e-02-8.279027374638645020e-02j)	 (-6.564913737573264962e-02+6.911097660152730471e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-6.564913737571254071e-02+6.911097660150056221e-02j)	 (6.565384143674930784e-02-6.833312759137184778e-02j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (1.540639742189868835e-02-1.424079948923573542e-02j)	 (-1.535208068590828388e-02+1.762778767463719226e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.535208068590408412e-02+1.762778767458763468e-02j)	 (7.986299282808846656e-02-8.196841524561876424e-02j)	 (-6.445174999077903089e-02+6.852746971125057984e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.445174999078372158e-02+6.852746971129335118e-02j)	 (6.445659449198476443e-02-6.772761818803105238e-02j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (1.512621076047054522e-02-1.402660282591368726e-02j)	 (-1.506801478755378197e-02+1.751079308157826517e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.506801478755744224e-02+1.751079308162054038e-02j)	 (7.841901631772224546e-02-8.115770634316880894e-02j)	 (-6.328789699188555606e-02+6.795295167537875047e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.328789699187754858e-02+6.795295167535150838e-02j)	 (6.329280328129598121e-02-6.713110312264021495e-02j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)	 (1.485543075494092681e-02-1.381429903790105766e-02j)	 (-1.479297161781455323e-02+1.739591747301130753e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.479297161778279392e-02+1.739591747298207744e-02j)	 (7.701810742836581736e-02-8.035443390024579746e-02j)	 (-6.215767859479754548e-02+6.738399481721936424e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.215767859482090180e-02+6.738399481723211792e-02j)	 (6.216267641117857040e-02-6.654013391272452227e-02j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (1.459337513390721042e-02-1.360416209608419219e-02j)	 (-1.452660769716660437e-02+1.728327142478637904e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.452660769719159133e-02+1.728327142475316949e-02j)	 (7.565902894009909896e-02-7.956091993231004245e-02j)	 (-6.106061428508502420e-02+6.682260591000162286e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.106061428506579652e-02+6.682260591003021111e-02j)	 (6.106565279690764209e-02-6.595675728582453545e-02j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (1.433980085759674165e-02-1.339590392470698006e-02j)	 (-1.426861691177792879e-02+1.717277776771796230e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.426861691181819346e-02+1.717277776771700126e-02j)	 (7.433992889052587483e-02-7.877574031955607292e-02j)	 (-5.999508102166386386e-02+6.626769891293554648e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-5.999508102163051554e-02+6.626769891294249926e-02j)	 (6.000012866468400902e-02-6.537983948877233720e-02j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (1.409454456381641421e-02-1.318941279293369719e-02j)	 (-1.401874536407428026e-02+1.706440668473168179e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.401874536405647333e-02+1.706440668473130015e-02j)	 (7.306001431428971182e-02-7.799800722102885608e-02j)	 (-5.896042730711287955e-02+6.571851769527131681e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.896042730713210722e-02+6.571851769527006781e-02j)	 (5.896546975227009296e-02-6.480859441837079349e-02j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (1.385719877412901375e-02-1.298503086689774266e-02j)	 (-1.377667670935535729e-02+1.695822486332574167e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.377667670934258799e-02+1.695822486333972701e-02j)	 (7.181888105555687962e-02-7.722903896551965020e-02j)	 (-5.795667214248160365e-02+6.517597313215126031e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-5.795667214249889537e-02+6.517597313213367716e-02j)	 (5.796168227213813195e-02-6.424400809172382820e-02j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (1.362757807522292988e-02-1.278267435489270284e-02j)	 (-1.354213454590308049e-02+1.685422929101278167e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.354213454591627654e-02+1.685422929102513637e-02j)	 (7.061542564259865040e-02-7.646836792808746341e-02j)	 (-5.698287575577733188e-02+6.463970060004818607e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.698287575576029690e-02+6.463970060003330909e-02j)	 (5.698784756100604143e-02-6.368569358238668210e-02j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)	 (1.340552242954189122e-02-1.258210398928072404e-02j)	 (-1.331488809629340422e-02+1.675239150715192651e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.331488809629396454e-02+1.675239150713846853e-02j)	 (6.944848382555320054e-02-7.571515961397914940e-02j)	 (-5.603801891974709293e-02+6.410915345241220697e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.603801891975094401e-02+6.410915345242489127e-02j)	 (5.604296140685876421e-02-6.313305562262788717e-02j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (1.319031101856665486e-02-1.238344143839535325e-02j)	 (-1.309455717957598575e-02+1.665267225340877691e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.309455717957809344e-02+1.665267225342567312e-02j)	 (6.831596290663140281e-02-7.497055379316393264e-02j)	 (-5.512080465647225397e-02+6.358530691067106055e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.512080465646616162e-02+6.358530691065676643e-02j)	 (5.512565187660609101e-02-6.258711235666934714e-02j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (1.298224857292462099e-02-1.218668167407332623e-02j)	 (-1.288097506320893051e-02+1.655515458124241432e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.288097506319755593e-02+1.655515458123098249e-02j)	 (6.721832996944564209e-02-7.423367045253539964e-02j)	 (-5.423128684217154438e-02+6.306731131333462304e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.423128684217834450e-02+6.306731131334480933e-02j)	 (5.423608140312938947e-02-6.204698876902910859e-02j)
 (4.700000000000000000e+01+0.000000000000000000e+00j)	 (1.278063244110427300e-02-1.199193090326030123e-02j)	 (-1.267377780768904824e-02+1.645978185990149695e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.267377780770000822e-02+1.645978185988744222e-02j)	 (6.615347239289295911e-02-7.350557902737295257e-02j)	 (-5.336813010437280874e-02+6.255608628600067833e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.336813010436470411e-02+6.255608628601597165e-02j)	 (5.337283996013023057e-02-6.151364813151213168e-02j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (1.258533838764627939e-02-1.179895028681035227e-02j)	 (-1.247277027911472547e-02+1.636652672323126237e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.247277027913137014e-02+1.636652672323020419e-02j)	 (6.512030644836393212e-02-7.278552220964697173e-02j)	 (-5.253036074362950336e-02+6.205116124451047488e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.253036074361568109e-02+6.205116124451148796e-02j)	 (5.253496805925880059e-02-6.098657193459987996e-02j)
