f	1DC-2_dc	2DC-2_dc	3DC-2_dc
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (1.540639918431362283e-02-1.424080175632158086e-02j)	 (-1.535208320672169086e-02+1.762779046765354865e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.535208320672562000e-02+1.762779046769731919e-02j)	 (7.986300137314722436e-02-8.196842837469865695e-02j)	 (-6.445175694369530139e-02+6.852748069786522567e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.445175694262887667e-02+6.852748069927243335e-02j)	 (6.445660206725703500e-02-6.772762693047532090e-02j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (1.512620904666693578e-02-1.402660059758300236e-02j)	 (-1.506801231652819296e-02+1.751079031296750438e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.506801231652230011e-02+1.751079031292504529e-02j)	 (7.841900801960972889e-02-8.115769336938416512e-02j)	 (-6.328789023742484310e-02+6.795294080210040333e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.328789023720682305e-02+6.795294080228242439e-02j)	 (6.329279869122031443e-02-6.713109271084070906e-02j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)	 (1.485543349215183960e-02-1.381429939895477757e-02j)	 (-1.479297528415878665e-02+1.739591768778542269e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.479297528420083808e-02+1.739591768782646278e-02j)	 (7.701812225123479128e-02-8.035443722326558735e-02j)	 (-6.215769089394644620e-02+6.738399775074588316e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-6.215769089315516943e-02+6.738399775073378173e-02j)	 (6.216268873097652303e-02-6.654013771287348167e-02j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (1.459337476440565259e-02-1.360416478321108298e-02j)	 (-1.452660746289304028e-02+1.728327505363494096e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.452660746285359614e-02+1.728327505368366240e-02j)	 (7.565902553881546921e-02-7.956093453133829263e-02j)	 (-6.106061127933549298e-02+6.682261803836277159e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-6.106061127824569112e-02+6.682261803737787886e-02j)	 (6.106565063913670099e-02-6.595676968237866589e-02j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (1.433979873294393727e-02-1.339590551710468681e-02j)	 (-1.426861420201390625e-02+1.717278011980800240e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.426861420196659340e-02+1.717278011980973365e-02j)	 (7.433991630886284396e-02-7.877574799906089664e-02j)	 (-5.999507042670710472e-02+6.626770517123681259e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-5.999507042813600338e-02+6.626770517056260190e-02j)	 (6.000011764513310530e-02-6.537984286912923437e-02j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (1.409454663241792305e-02-1.318941104732663898e-02j)	 (-1.401874802201046911e-02+1.706440397615267487e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.401874802205377128e-02+1.706440397615348672e-02j)	 (7.306002658322714727e-02-7.799799726382475318e-02j)	 (-5.896043764644631757e-02+6.571850927332954784e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.896043764668833925e-02+6.571850927334825510e-02j)	 (5.896547994904837581e-02-6.480858620710203133e-02j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (1.385719900836686683e-02-1.298502822623012580e-02j)	 (-1.377667669164867568e-02+1.695822111637527302e-02j)	 (0.000000000000000000e+00-0.000000000000000000e+00j)	 (-1.377667669168003081e-02+1.695822111634290655e-02j)	 (7.181888275266674893e-02-7.722902351304737623e-02j)	 (-5.795667355749215682e-02+6.517596007125474322e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.795667355769014428e-02+6.517596007110805501e-02j)	 (5.796168373625930348e-02-6.424399528135187054e-02j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (1.362757547952324171e-02-1.278267411487155059e-02j)	 (-1.354213083102061635e-02+1.685422929173222006e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.354213083098585770e-02+1.685422929170791659e-02j)	 (7.061541038834229234e-02-7.646836616709830337e-02j)	 (-5.698286284510706290e-02+6.463969912455726219e-02j)	 (-0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.698286284501092452e-02+6.463969912436347276e-02j)	 (5.698783490329571016e-02-6.368569206033156127e-02j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)	 (1.340552407014314329e-02-1.258210595854841567e-02j)	 (-1.331489070272836445e-02+1.675239410988855690e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.331489070273293024e-02+1.675239410992421588e-02j)	 (6.944849324506544019e-02-7.571517150343705371e-02j)	 (-5.603802691026048971e-02+6.410916352146611707e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.603802691026824045e-02+6.410916352170174803e-02j)	 (5.604296918478711420e-02-6.313306554315867292e-02j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (1.319030941659889850e-02-1.238343950513955995e-02j)	 (-1.309455461378860978e-02+1.665266967272971410e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-1.309455461378348368e-02+1.665266967268046530e-02j)	 (6.831595368933911228e-02-7.497054204935002519e-02j)	 (-5.512079682980713241e-02+6.358529694811464184e-02j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (-5.512079682989972501e-02+6.358529694788060682e-02j)	 (5.512564426299503689e-02-6.258710254584583244e-02j)
