f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
6.530000000000000000e+02	1.222933913092019111e+03	5.275938960951109119e-02	4.591615766348925831e+01
6.550000000000000000e+02	1.218598168122477091e+03	5.258486582505183388e-02	4.560591450514203871e+01
6.570000000000000000e+02	1.214289260037604663e+03	5.241146929476080824e-02	4.529871824994278739e+01
6.580000000000000000e+02	1.212145457186162503e+03	5.232516343659209673e-02	4.514623766518118231e+01
6.600000000000000000e+02	1.207879031197504446e+03	5.215340539156381600e-02	4.484360159660435130e+01
6.620000000000000000e+02	1.203638872965362907e+03	5.198278305070938576e-02	4.454393459544400713e+01
6.640000000000000000e+02	1.199424763605611133e+03	5.181332254212616534e-02	4.424724766471919679e+01
6.650000000000000000e+02	1.197327371480172815e+03	5.172905399220423250e-02	4.410003863740324448e+01
6.670000000000000000e+02	1.193154002570549437e+03	5.156112533112671564e-02	4.380764780390445168e+01
6.690000000000000000e+02	1.189005436121501134e+03	5.139442530973091505e-02	4.351820338708198932e+01
6.710000000000000000e+02	1.184882580886732512e+03	5.122877296819238618e-02	4.323155668724018597e+01
6.730000000000000000e+02	1.180785914902345212e+03	5.106412730624004109e-02	4.294766330453979464e+01
6.740000000000000000e+02	1.178747892229078843e+03	5.098217104498187213e-02	4.280675952420850194e+01
6.760000000000000000e+02	1.174688852905881049e+03	5.081910450510117305e-02	4.252697393402679893e+01
6.780000000000000000e+02	1.170653932471051576e+03	5.065712473442691988e-02	4.224990604123721738e+01
6.800000000000000000e+02	1.166644483391245558e+03	5.049619965868924754e-02	4.197554817660303428e+01
6.810000000000000000e+02	1.164649413627432295e+03	5.041601367574467807e-02	4.183928914764960183e+01
6.830000000000000000e+02	1.160676569726982734e+03	5.025660996409832271e-02	4.156886301900735248e+01
6.850000000000000000e+02	1.156726970855439049e+03	5.009818999385941968e-02	4.130097487380304955e+01
6.870000000000000000e+02	1.152802073114650284e+03	4.994071086979482571e-02	4.103561280301369862e+01
6.890000000000000000e+02	1.148901915803420479e+03	4.978419844710183645e-02	4.077279955551657764e+01
6.900000000000000000e+02	1.146960085149303268e+03	4.970630980731950005e-02	4.064229750312182432e+01
6.920000000000000000e+02	1.143093164880718177e+03	4.955132417834407638e-02	4.038319293083309702e+01
6.940000000000000000e+02	1.139250018365491769e+03	4.939732451021511955e-02	4.012656849926134583e+01
6.960000000000000000e+02	1.135430243595648108e+03	4.924415651151053952e-02	3.987226210767787649e+01
6.970000000000000000e+02	1.133528654042321477e+03	4.916800855525284286e-02	3.974607196283323418e+01
6.990000000000000000e+02	1.129741596035870543e+03	4.901635679124915351e-02	3.949537469865131101e+01
7.010000000000000000e+02	1.125977667988967369e+03	4.886558554176519825e-02	3.924699369129370297e+01
7.030000000000000000e+02	1.122237138967105238e+03	4.871571842390944040e-02	3.900095434602803834e+01
7.050000000000000000e+02	1.118517117709455761e+03	4.856678889867951238e-02	3.875715926088684427e+01
7.060000000000000000e+02	1.116664333261329602e+03	4.849269665089489534e-02	3.863610701970278427e+01
7.080000000000000000e+02	1.112977442829926076e+03	4.834518015098111104e-02	3.839575260007815416e+01
7.100000000000000000e+02	1.109311703571989028e+03	4.819845459888772582e-02	3.815751170372240608e+01
7.120000000000000000e+02	1.105667554331302881e+03	4.805271392182360740e-02	3.792155187673245820e+01
7.140000000000000000e+02	1.102042979162346228e+03	4.790784243141237714e-02	3.768769809475211474e+01
7.150000000000000000e+02	1.100238887413224347e+03	4.783570191618056328e-02	3.757154940322124759e+01
7.170000000000000000e+02	1.096648082704359467e+03	4.769206186853047758e-02	3.734091414171578549e+01
7.190000000000000000e+02	1.093076238106143592e+03	4.754930333191961095e-02	3.711233066781328915e+01
7.210000000000000000e+02	1.089523906063068125e+03	4.740744200795644209e-02	3.688583132671859488e+01
