f	pp	pn	np	nn
 (2.200000000000000000e+01+0.000000000000000000e+00j)	 (2.039701351605478340e-03-8.974696100560036749e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.039705768996412285e-03-8.974705316852737980e-03j)
 (2.250000000000000000e+01+0.000000000000000000e+00j)	 (1.954273794490493654e-03-8.794242141898236942e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.954277941771590324e-03-8.794251012474087192e-03j)
 (2.350000000000000000e+01+0.000000000000000000e+00j)	 (1.798541147958608762e-03-8.453153325711983135e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.798544816714967801e-03-8.453161556999534004e-03j)
 (2.450000000000000000e+01+0.000000000000000000e+00j)	 (1.660468282718687016e-03-8.136304422703584394e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.660471542868850736e-03-8.136312077405942478e-03j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)	 (1.481038021630747166e-03-7.701407478479058849e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.481040774057063546e-03-7.701414370142814145e-03j)
 (2.650000000000000000e+01+0.000000000000000000e+00j)	 (1.427580065292007819e-03-7.566184103850090090e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.427582671786657275e-03-7.566190765177076630e-03j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)	 (1.376933090116417256e-03-7.435448443133237453e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.376935560700533884e-03-7.435454884961266789e-03j)
 (2.850000000000000000e+01+0.000000000000000000e+00j)	 (1.240020760180544045e-03-7.068128122464055300e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.240022875193246346e-03-7.068133964733886408e-03j)
 (2.950000000000000000e+01+0.000000000000000000e+00j)	 (1.159684177942064747e-03-6.842146488037864800e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.159686092691179218e-03-6.842151974287996076e-03j)
 (3.050000000000000000e+01+0.000000000000000000e+00j)	 (1.086843373220910437e-03-6.629754481913444769e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.086845112003230820e-03-6.629759642674024067e-03j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)	 (1.052948342519533734e-03-6.528289668584923156e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.052950001290744401e-03-6.528294677011960839e-03j)
 (3.250000000000000000e+01+0.000000000000000000e+00j)	 (9.601913120531979477e-04-6.241253614231671160e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (9.601927581907039166e-04-6.241258202946423084e-03j)
 (3.350000000000000000e+01+0.000000000000000000e+00j)	 (9.049524587674329969e-04-6.063191669679367408e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (9.049537828269768602e-04-6.063196006473832618e-03j)
 (3.450000000000000000e+01+0.000000000000000000e+00j)	 (8.543152060143702990e-04-5.894785238698973390e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.543164212658994807e-04-5.894789343266976581e-03j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)	 (8.305651797129403983e-04-5.813966639645856520e-03j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (8.305663449835300541e-04-5.813970634865067537e-03j)
