f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
1.400000000000000000e+01	3.091636254098277732e+02	3.188166640174251373e-03	7.805970984442467397e-01
1.450000000000000000e+01	3.115643959245304018e+02	3.174869393417969511e-03	7.798350652659292725e-01
1.500000000000000000e+01	3.139652782275746290e+02	3.160662030954154884e-03	7.788568814299106080e-01
1.550000000000000000e+01	3.163662697926612282e+02	3.145623843579127294e-03	7.777279701993222716e-01
1.600000000000000000e+01	3.187673681696621202e+02	3.129463432469095554e-03	7.763356106940110246e-01
1.650000000000000000e+01	3.211685709818256100e+02	3.112514779606276923e-03	7.747162446996194163e-01
1.700000000000000000e+01	3.235698759226326615e+02	3.095153031743876852e-03	7.730019203568510022e-01
1.750000000000000000e+01	3.259712807541109783e+02	3.077078142553372336e-03	7.711771986227662357e-01
1.800000000000000000e+01	3.283727833030574743e+02	3.058375933738500911e-03	7.692385702381491219e-01
1.850000000000000000e+01	3.307743814602088150e+02	3.039116206575688973e-03	7.671014049820270575e-01
1.900000000000000000e+01	3.331760731768653159e+02	3.019555798493269924e-03	7.649016928923970671e-01
1.950000000000000000e+01	3.355778564627411242e+02	2.999723753142573193e-03	7.626972270387482045e-01
2.000000000000000000e+01	3.379797293848290565e+02	2.979397570773906385e-03	7.603812329148015303e-01
2.050000000000000000e+01	3.403816900639056371e+02	2.958808222923588714e-03	7.579576525706176460e-01
2.100000000000000000e+01	3.427837366739917684e+02	2.938235527214789599e-03	7.555426612638789230e-01
2.150000000000000000e+01	3.451858674404359704e+02	2.917394617966753961e-03	7.531305759417775691e-01
2.200000000000000000e+01	3.475880806368733147e+02	2.896364999671171593e-03	7.507118619642492163e-01
2.250000000000000000e+01	3.499903745848036465e+02	2.875207717670250768e-03	7.481846274156642718e-01
2.300000000000000000e+01	3.523927476513990200e+02	2.854068856494312509e-03	7.456712359050298167e-01
2.350000000000000000e+01	3.547951982484205473e+02	2.832953118424836811e-03	7.432282734237879440e-01
2.400000000000000000e+01	3.571977248303617216e+02	2.811723780733803042e-03	7.407602828258843530e-01
2.450000000000000000e+01	3.596003258928414539e+02	2.790518057175133196e-03	7.382474249495639684e-01
2.500000000000000000e+01	3.620029999716390989e+02	2.769536858097916034e-03	7.357916998368794204e-01
2.550000000000000000e+01	3.644057456415106344e+02	2.748546130899545258e-03	7.334051526243569041e-01
2.600000000000000000e+01	3.668085615141627045e+02	2.727614312413375285e-03	7.310723778203210843e-01
2.650000000000000000e+01	3.692114462378055464e+02	2.706797841395797155e-03	7.286804017468287986e-01
2.700000000000000000e+01	3.716143984958748661e+02	2.686163795962727679e-03	7.263429869739769229e-01
2.750000000000000000e+01	3.740174170049288023e+02	2.665704667533643022e-03	7.241167742169482002e-01
2.800000000000000000e+01	3.764205005153466459e+02	2.645354611298603251e-03	7.219164194742099250e-01
2.850000000000000000e+01	3.788236478090695414e+02	2.625180059469951060e-03	7.197064807932639363e-01
2.900000000000000000e+01	3.812268576982073682e+02	2.605321919848914338e-03	7.175765984607233028e-01
2.950000000000000000e+01	3.836301290256017751e+02	2.585599294374296697e-03	7.155556622756092944e-01
3.000000000000000000e+01	3.860334606624572871e+02	2.566068565161639184e-03	7.136230200279551905e-01
3.050000000000000000e+01	3.884368515080919337e+02	2.546781179036248198e-03	7.116590692860815803e-01
3.100000000000000000e+01	3.908403004888897954e+02	2.527752995657636063e-03	7.097718453221362189e-01
3.150000000000000000e+01	3.932438065578378996e+02	2.508970014096233419e-03	7.080175151892154073e-01
3.200000000000000000e+01	3.956473686936577110e+02	2.490415931412023626e-03	7.063184899346929280e-01
3.250000000000000000e+01	3.980509858989452709e+02	2.472109549352399186e-03	7.046303167744313312e-01
3.300000000000000000e+01	4.004546572011976764e+02	2.454148309626728083e-03	7.030320339210968106e-01
3.350000000000000000e+01	4.028583816511927012e+02	2.436395731657768713e-03	7.015655829941925825e-01
