f	min_s_G1	min_s_G2	min_s_G1G2
3.830000000000000000e+02	2.741883181257227520e+00	1.623136472480210242e-04	1.535658798187376135e+02
3.850000000000000000e+02	2.754039470756630248e+00	1.625469079120102876e-04	1.517201489479984673e+02
3.880000000000000000e+02	2.772198731098189484e+00	1.628918048422533051e-04	1.490127785167353522e+02
3.920000000000000000e+02	2.796272455481325636e+00	1.633426391081572884e-04	1.455132505384778483e+02
3.930000000000000000e+02	2.802266403739017253e+00	1.634537816587852330e-04	1.446574546515238353e+02
3.970000000000000000e+02	2.826145491092302731e+00	1.638922790106941963e-04	1.413079878469231971e+02
3.990000000000000000e+02	2.838027585279520260e+00	1.641079693946673548e-04	1.396763063615358931e+02
4.020000000000000000e+02	2.855779839495251604e+00	1.644271901486232498e-04	1.372807725785642674e+02
4.060000000000000000e+02	2.879318920509731150e+00	1.648450017177524032e-04	1.341805181379441478e+02
4.070000000000000000e+02	2.885180646188170606e+00	1.649480954848260128e-04	1.334217042878175050e+02
4.110000000000000000e+02	2.908536611508721226e+00	1.653551924452587084e-04	1.304492972198953282e+02
4.130000000000000000e+02	2.920160611468429313e+00	1.655556453761256248e-04	1.289998368982419663e+02
4.160000000000000000e+02	2.937530065344454044e+00	1.658525662955775395e-04	1.268700760815705166e+02
4.200000000000000000e+02	2.960566858804826396e+00	1.662416436444062425e-04	1.241106539387663048e+02
4.210000000000000000e+02	2.966304462351426530e+00	1.663377261492645417e-04	1.234347197931055859e+02
4.250000000000000000e+02	2.989169740085934723e+00	1.667174410634800468e-04	1.207848948269362239e+02
4.280000000000000000e+02	3.006230464010517966e+00	1.669975001946821423e-04	1.188525430516466770e+02
4.300000000000000000e+02	3.017562883754527636e+00	1.671820169565978685e-04	1.175896830880887194e+02
4.340000000000000000e+02	3.040129858039364752e+00	1.675459381672348802e-04	1.151229678316938276e+02
4.350000000000000000e+02	3.045751453354555327e+00	1.676358757169537760e-04	1.145182846522134810e+02
4.390000000000000000e+02	3.068158474858798446e+00	1.679915657971123256e-04	1.121460608017704033e+02
4.430000000000000000e+02	3.090440488095334448e+00	1.683409301364002515e-04	1.098459903286099149e+02
4.440000000000000000e+02	3.095991765469985335e+00	1.684273086511861443e-04	1.092819045943234215e+02
4.480000000000000000e+02	3.118121193136829117e+00	1.687690717186691265e-04	1.070679765124050959e+02
4.500000000000000000e+02	3.129141066139070837e+00	1.689377474589656247e-04	1.059858697873947193e+02
4.530000000000000000e+02	3.145615734813809183e+00	1.691880737077203949e-04	1.043928599527963854e+02
4.570000000000000000e+02	3.167480721244387176e+00	1.695169510647876691e-04	1.023234757660389391e+02
