f	min_s_G1	min_s_G2	min_s_G1G2
3.180000000000000000e+02	2.323021328018334053e+00	1.528310372688275649e-04	2.379045944457205053e+02
3.210000000000000000e+02	2.343440504491541176e+00	1.533737869114882245e-04	2.326331969008990654e+02
3.240000000000000000e+02	2.363748636005579051e+00	1.539038363809168289e-04	2.275340151363901100e+02
3.260000000000000000e+02	2.377226094558813063e+00	1.542503824698219898e-04	2.242265563745209533e+02
3.300000000000000000e+02	2.404034999566548425e+00	1.549277137890350017e-04	2.178230226524732132e+02
3.310000000000000000e+02	2.410706988303473963e+00	1.550938579548123925e-04	2.162647208988326781e+02
3.350000000000000000e+02	2.437274948168957955e+00	1.557461496806536233e-04	2.101947089181422541e+02
3.360000000000000000e+02	2.443887101557537189e+00	1.559062277867678630e-04	2.087168678066711038e+02
3.400000000000000000e+02	2.470217359427950399e+00	1.565349869980623841e-04	2.029576221794576725e+02
3.410000000000000000e+02	2.476770502898702819e+00	1.566893579956835840e-04	2.015547989108593470e+02
3.450000000000000000e+02	2.502866416544625494e+00	1.572959733533195524e-04	1.960854724824415030e+02
3.470000000000000000e+02	2.515844862983851016e+00	1.575929407107559471e-04	1.934333245628091618e+02
3.500000000000000000e+02	2.535226436517971749e+00	1.580307462192117511e-04	1.895541418577844297e+02
3.530000000000000000e+02	2.554505553021379605e+00	1.584596624753709560e-04	1.857896432347636448e+02
3.550000000000000000e+02	2.567301859648674078e+00	1.587408210735363246e-04	1.833414725038293795e+02
3.590000000000000000e+02	2.592760344646995563e+00	1.592920477975358459e-04	1.785870187495108610e+02
3.600000000000000000e+02	2.599097239137348581e+00	1.594276056347142441e-04	1.774270786835318745e+02
3.640000000000000000e+02	2.624335036840000690e+00	1.599611465247468395e-04	1.728976511241582443e+02
3.660000000000000000e+02	2.636888598966526054e+00	1.602228393432393735e-04	1.706971901025036402e+02
3.690000000000000000e+02	2.655638133023118019e+00	1.606092434122825786e-04	1.674738076919489913e+02
3.720000000000000000e+02	2.674291624600092288e+00	1.609885018030351436e-04	1.643401376545166954e+02
3.740000000000000000e+02	2.686674448538348248e+00	1.612374869814758166e-04	1.622992305874525982e+02
3.780000000000000000e+02	2.711314702897908102e+00	1.617265090305614929e-04	1.583289007393917416e+02
3.790000000000000000e+02	2.717448873723336433e+00	1.618469474310060667e-04	1.573588876911484533e+02
3.830000000000000000e+02	2.741883181257227520e+00	1.623216663872038205e-04	1.535658757516240769e+02
3.850000000000000000e+02	2.754039470756630248e+00	1.625549085560438242e-04	1.517201449055600904e+02
3.880000000000000000e+02	2.772198731098189484e+00	1.628997781979031037e-04	1.490127745114601225e+02
3.920000000000000000e+02	2.796272455481325636e+00	1.633505769568380044e-04	1.455132465829456692e+02
3.930000000000000000e+02	2.802266403739017253e+00	1.634617107794285047e-04	1.446574507084371248e+02
3.970000000000000000e+02	2.826145491092302731e+00	1.639001737943056064e-04	1.413079839537252838e+02
3.990000000000000000e+02	2.838027585279520260e+00	1.641158473415436881e-04	1.396763024932860731e+02
4.020000000000000000e+02	2.855779839495251604e+00	1.644350432487857040e-04	1.372807687477081515e+02
4.060000000000000000e+02	2.879318920509731150e+00	1.648528224377264831e-04	1.341805143568436165e+02
