Frequency [Hz]	d axis	q axis
 (8.250000000000000000e+01+0.000000000000000000e+00j)	 (4.863100465314537657e-01+2.148585614441544597e-02j)	 (5.136899534685461788e-01-2.148585614441544944e-02j)
 (8.350000000000000000e+01+0.000000000000000000e+00j)	 (4.821443958791694628e-01+2.363596372866420478e-02j)	 (5.178556041208304261e-01-2.363596372866419784e-02j)
 (8.450000000000000000e+01+0.000000000000000000e+00j)	 (4.780987460969468028e-01+2.577968109554381812e-02j)	 (5.219012539030531972e-01-2.577968109554380771e-02j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)	 (4.761186668791897447e-01+2.684996339604748400e-02j)	 (5.238813331208104218e-01-2.684996339604748053e-02j)
 (8.650000000000000000e+01+0.000000000000000000e+00j)	 (4.703403242706477028e-01+3.005349799268801705e-02j)	 (5.296596757293522417e-01-3.005349799268802052e-02j)
 (8.800000000000000000e+01+0.000000000000000000e+00j)	 (4.647872889620749404e-01+3.324223468654560754e-02j)	 (5.352127110379251151e-01-3.324223468654561447e-02j)
 (8.850000000000000000e+01+0.000000000000000000e+00j)	 (4.629809549055874940e-01+3.430140763402753784e-02j)	 (5.370190450944123395e-01-3.430140763402753784e-02j)
 (8.950000000000000000e+01+0.000000000000000000e+00j)	 (4.594344530216501465e-01+3.641243174788542925e-02j)	 (5.405655469783497979e-01-3.641243174788542231e-02j)
 (9.100000000000000000e+01+0.000000000000000000e+00j)	 (4.542664526346707476e-01+3.957128519445352044e-02j)	 (5.457335473653291968e-01-3.957128519445352738e-02j)
 (9.200000000000000000e+01+0.000000000000000000e+00j)	 (4.509139561867349655e-01+4.166364343808717785e-02j)	 (5.490860438132650900e-01-4.166364343808717785e-02j)
 (9.250000000000000000e+01+0.000000000000000000e+00j)	 (4.492638551743297071e-01+4.270895140388501765e-02j)	 (5.507361448256702374e-01-4.270895140388501071e-02j)
 (9.400000000000000000e+01+0.000000000000000000e+00j)	 (4.444129271811404491e-01+4.582778933930645171e-02j)	 (5.555870728188596619e-01-4.582778933930645171e-02j)
 (9.550000000000000000e+01+0.000000000000000000e+00j)	 (4.396941677959956829e-01+4.892504682773927277e-02j)	 (5.603058322040043171e-01-4.892504682773926583e-02j)
