Frequency [Hz]	d axis	q axis
 (3.550000000000000000e+01+0.000000000000000000e+00j)	 (2.688855704528833712e+01+3.140024082941748134e+02j)	 (-3.463488097606925180e+02+1.180704062468078973e+03j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)	 (2.849248592250315681e+01+3.262228857574122003e+02j)	 (-3.966198852788950830e+02+1.283867226703929418e+03j)
 (3.650000000000000000e+01+0.000000000000000000e+00j)	 (3.026558903371844522e+01+3.384815070466239604e+02j)	 (-4.615764887187372096e+02+1.407647432617568029e+03j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)	 (3.220629537648473928e+01+3.507567003237146537e+02j)	 (-5.479292546155231776e+02+1.558535352307123730e+03j)
 (3.750000000000000000e+01+0.000000000000000000e+00j)	 (3.430913631659871754e+01+3.630114213263351530e+02j)	 (-6.666567887060414250e+02+1.745540242403227921e+03j)
 (3.850000000000000000e+01+0.000000000000000000e+00j)	 (3.903256795324965367e+01+3.874242585001353518e+02j)	 (-1.094562360222200141e+03+2.284227800499425484e+03j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)	 (4.164604240812597880e+01+3.995414193776974230e+02j)	 (-1.512112103456360046e+03+2.674947484188356611e+03j)
 (3.950000000000000000e+01+0.000000000000000000e+00j)	 (4.444254239819560581e+01+4.115788847408715014e+02j)	 (-2.247579433979279656e+03+3.157738755693556413e+03j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)	 (4.741228358967284606e+01+4.235222796956638263e+02j)	 (-3.655703645685462106e+03+3.598946278186446762e+03j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)	 (5.391905087422945542e+01+4.471104546797051853e+02j)	 (-8.442265711477122750e+03-7.790481522468185176e+02j)
 (4.150000000000000000e+01+0.000000000000000000e+00j)	 (5.744378087333966931e+01+4.587069472090198587e+02j)	 (-5.727054539626154110e+03-4.575473976037224020e+03j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)	 (6.118122897061727627e+01+4.701859050920666050e+02j)	 (-2.767609999817513199e+03-4.605253800957191743e+03j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)	 (6.923589156626150043e+01+4.927838561019236749e+02j)	 (-7.374700299480354033e+02-3.063746643044582470e+03j)
 (4.350000000000000000e+01+0.000000000000000000e+00j)	 (7.356695534168682116e+01+5.038680989511911434e+02j)	 (-4.206818976194351762e+02-2.539354958198278382e+03j)
 (4.450000000000000000e+01+0.000000000000000000e+00j)	 (8.286284281647061789e+01+5.256273014252719804e+02j)	 (-1.468637473407188736e+02-1.863992784748068971e+03j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)	 (8.783757336806111482e+01+5.363153740947318511e+02j)	 (-8.445201925231451412e+01-1.639733783189881478e+03j)
 (4.550000000000000000e+01+0.000000000000000000e+00j)	 (9.304788222659699670e+01+5.468682403080541690e+02j)	 (-4.431488092267673551e+01-1.461788549471551278e+03j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)	 (9.846367734882589673e+01+5.572346428156138245e+02j)	 (-1.754118991897686897e+01-1.317081219369788414e+03j)
 (4.650000000000000000e+01+0.000000000000000000e+00j)	 (1.041421613786938707e+02+5.674376704749952296e+02j)	 (4.481479930070107476e-01-1.197641490222574021e+03j)
 (4.750000000000000000e+01+0.000000000000000000e+00j)	 (1.161747034881333178e+02+5.874604535658398845e+02j)	 (2.184634199151550860e+01-1.012226220760367596e+03j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)	 (1.225474086302346279e+02+5.972217571730841428e+02j)	 (2.802877952169307108e+01-9.387285805746797678e+02j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)	 (1.360414033536799820e+02+6.163213296169187743e+02j)	 (3.544342139817629800e+01-8.186461732193695298e+02j)
 (4.950000000000000000e+01+0.000000000000000000e+00j)	 (1.430980817690627589e+02+6.255739074339327317e+02j)	 (3.756588024329884945e+01-7.687107955317701453e+02j)
 (5.050000000000000000e+01+0.000000000000000000e+00j)	 (1.580244109359701952e+02+6.436474141943234599e+02j)	 (3.984400198201453236e+01-6.842388637249653129e+02j)
 (5.150000000000000000e+01+0.000000000000000000e+00j)	 (1.739513103906839717e+02+6.609618565649418542e+02j)	 (4.047713201187698218e+01-6.151534109248010509e+02j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)	 (1.823313721967207073e+02+6.693217703083099650e+02j)	 (4.040064981083369133e+01-5.850966184772038332e+02j)
 (5.250000000000000000e+01+0.000000000000000000e+00j)	 (1.908908301548978557e+02+6.774964045502975978e+02j)	 (4.020378233917212185e+01-5.574564455480989409e+02j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)	 (1.997238946933529462e+02+6.854088235254915844e+02j)	 (3.984192006210131609e+01-5.319501403437938052e+02j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)	 (2.181372521907900932e+02+7.006433715527375625e+02j)	 (3.890720699481349243e+01-4.864152937324456047e+02j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)	 (2.375141914171781821e+02+7.149845486940549790e+02j)	 (3.779259978398907549e+01-4.468095504784339482e+02j)
 (5.550000000000000000e+01+0.000000000000000000e+00j)	 (2.475244641002973651e+02+7.217549012324241176e+02j)	 (3.719513068363477259e+01-4.288221262131702929e+02j)
 (5.650000000000000000e+01+0.000000000000000000e+00j)	 (2.682643773668098106e+02+7.345659817832282670e+02j)	 (3.596858288882889809e+01-3.959289160549419080e+02j)
 (5.750000000000000000e+01+0.000000000000000000e+00j)	 (2.899365065841550404e+02+7.462176292157669195e+02j)	 (3.471959413340979239e+01-3.664944547640640167e+02j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)	 (3.011051419423238826e+02+7.516011537547592525e+02j)	 (3.410425305843269683e+01-3.528738091721742762e+02j)
 (5.850000000000000000e+01+0.000000000000000000e+00j)	 (3.124350337906048480e+02+7.566877982957529412e+02j)	 (3.350298864157947065e+01-3.398919425282862790e+02j)
 (5.950000000000000000e+01+0.000000000000000000e+00j)	 (3.356614034662945301e+02+7.658237597209543992e+02j)	 (3.232268735401862614e+01-3.156461237075853319e+02j)
 (6.050000000000000000e+01+0.000000000000000000e+00j)	 (3.596464942962585951e+02+7.737073587862004160e+02j)	 (3.121380102832975467e+01-2.934084505074912954e+02j)
 (6.150000000000000000e+01+0.000000000000000000e+00j)	 (3.842934778181839874e+02+7.800893244614459263e+02j)	 (3.015546837907882249e+01-2.728609213665225752e+02j)
 (6.250000000000000000e+01+0.000000000000000000e+00j)	 (4.093807973689438313e+02+7.850491620374010608e+02j)	 (2.917651608258055873e+01-2.537451034182746525e+02j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)	 (4.221674208417017553e+02+7.868914730268256790e+02j)	 (2.870478491642476015e+01-2.446716523277953570e+02j)
 (6.350000000000000000e+01+0.000000000000000000e+00j)	 (4.350069783080948582e+02+7.883423393060353419e+02j)	 (2.825246091353605138e+01-2.358812570651726617e+02j)
 (6.450000000000000000e+01+0.000000000000000000e+00j)	 (4.607941994310752420e+02+7.900062087602372003e+02j)	 (2.739726273537383250e+01-2.190822379650935261e+02j)
 (6.550000000000000000e+01+0.000000000000000000e+00j)	 (4.869486986740963061e+02+7.900740592204272161e+02j)	 (2.661958528783816647e+01-2.032307121410208879e+02j)
 (6.650000000000000000e+01+0.000000000000000000e+00j)	 (5.129466498233904304e+02+7.883993257009080935e+02j)	 (2.590280851094003367e+01-1.881862395217403900e+02j)
 (6.750000000000000000e+01+0.000000000000000000e+00j)	 (5.389333251076982378e+02+7.850806573151661496e+02j)	 (2.525923830410778947e+01-1.738650804500205709e+02j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)	 (5.518389138164490078e+02+7.827325243340648058e+02j)	 (2.495980328761068279e+01-1.669464715736057769e+02j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)	 (5.774277417938574217e+02+7.768358911172884973e+02j)	 (2.441402873593199274e+01-1.535478951375010865e+02j)
