f	lambda_1	lambda_2
 (5.650000000000000000e+01+0.000000000000000000e+00j)	 (1.249693297570413364e-01-1.378419081699845672e-02j)	 (-4.664277300762986189e-01+2.305419406529335413e-01j)
 (5.750000000000000000e+01+0.000000000000000000e+00j)	 (1.033960708894881009e-01-1.029894097703343281e-02j)	 (-4.859508775468562858e-01+2.384533172749006835e-01j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)	 (9.451758902107212923e-02-8.659425353389774149e-03j)	 (-4.946557548052019082e-01+2.425348735032598624e-01j)
 (5.850000000000000000e+01+0.000000000000000000e+00j)	 (8.657820312082496750e-02-7.086667655953567124e-03j)	 (-5.027693023127590699e-01+2.466602395917701362e-01j)
 (5.950000000000000000e+01+0.000000000000000000e+00j)	 (7.284677502145116279e-02-4.078568779876938499e-03j)	 (-5.175192731182434169e-01+2.551702556422949519e-01j)
 (6.050000000000000000e+01+0.000000000000000000e+00j)	 (6.118505429893443537e-02-1.227546415902197596e-03j)	 (-5.308292832855696641e-01+2.639366588552963244e-01j)
 (6.150000000000000000e+01+0.000000000000000000e+00j)	 (5.099699713055835804e-02+1.526347482824888524e-03j)	 (-5.429367974572723021e-01+2.730169681700928552e-01j)
 (6.250000000000000000e+01+0.000000000000000000e+00j)	 (4.188049393965953549e-02+4.199507383922773673e-03j)	 (-5.540982366900754075e-01+2.822555243720223372e-01j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)	 (3.762944472825015263e-02+5.525800131191152542e-03j)	 (-5.594033475300230762e-01+2.870225526518118131e-01j)
 (6.350000000000000000e+01+0.000000000000000000e+00j)	 (3.355219679251542075e-02+6.842914236782848825e-03j)	 (-5.645231788725281197e-01+2.918242680633947317e-01j)
 (6.450000000000000000e+01+0.000000000000000000e+00j)	 (2.583015509424387013e-02+9.467718375750458493e-03j)	 (-5.742552808519503227e-01+3.015533395276999706e-01j)
 (6.550000000000000000e+01+0.000000000000000000e+00j)	 (1.856262094723531986e-02+1.208953944647191137e-02j)	 (-5.836032726540354432e-01+3.115272450890933520e-01j)
 (6.650000000000000000e+01+0.000000000000000000e+00j)	 (1.166060540569506532e-02+1.473265766198621207e-02j)	 (-5.924029286953674811e-01+3.216564163948580357e-01j)
 (6.750000000000000000e+01+0.000000000000000000e+00j)	 (5.041195979876567090e-03+1.740250134785131797e-02j)	 (-6.009037389395882611e-01+3.319807089476661810e-01j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)	 (1.818243851049436421e-03+1.875287212661490288e-02j)	 (-6.050202485888661608e-01+3.372393461935737635e-01j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)	 (-4.480216247133156360e-03+2.148639932316538659e-02j)	 (-6.130778402321573894e-01+3.478702730030195922e-01j)
